time_ps,eta_A,abs_eta_A,running_mean_A,running_abs_mean_A
15.680000,0.73243336,0.73243336,0.90230887,0.90230887
15.720000,0.71750245,0.71750245,0.90183982,0.90183982
15.760000,0.69834903,0.69834903,0.90132465,0.90132465
15.800000,0.67876110,0.67876110,0.90076262,0.90076262
15.840000,0.66387505,0.66387505,0.90016593,0.90016593
15.880000,0.65587127,0.65587127,0.89955212,0.89955212
15.920000,0.62425834,0.62425834,0.89886216,0.89886216
15.960000,0.60574496,0.60574496,0.89812937,0.89812937
16.000000,0.58517334,0.58517334,0.89734893,0.89734893
16.040000,0.57769173,0.57769173,0.89655376,0.89655376
16.080000,0.58449720,0.58449720,0.89577943,0.89577943
16.120000,0.59187484,0.59187484,0.89502719,0.89502719
16.160000,0.59684775,0.59684775,0.89429094,0.89429094
16.200000,0.59471842,0.59471842,0.89355308,0.89355308
16.240000,0.58776161,0.58776161,0.89280175,0.89280175
16.280000,0.57239636,0.57239636,0.89201644,0.89201644
16.320000,0.58148521,0.58148521,0.89125720,0.89125720
16.360000,0.58296886,0.58296886,0.89050528,0.89050528
16.400000,0.57126493,0.57126493,0.88972854,0.88972854
16.440000,0.55186985,0.55186985,0.88890849,0.88890849
16.480000,0.54224942,0.54224942,0.88806912,0.88806912
16.520000,0.54619284,0.54619284,0.88724333,0.88724333
16.560000,0.54779540,0.54779540,0.88642539,0.88642539
16.600000,0.56208527,0.56208527,0.88564572,0.88564572
16.640000,0.56260600,0.56260600,0.88487105,0.88487105
16.680000,0.56256242,0.56256242,0.88409997,0.88409997
16.720000,0.56140092,0.56140092,0.88332981,0.88332981
16.760000,0.56138430,0.56138430,0.88256327,0.88256327
16.800000,0.55955112,0.55955112,0.88179602,0.88179602
16.840000,0.57816169,0.57816169,0.88107651,0.88107651
16.880000,0.61785079,0.61785079,0.88045423,0.88045423
16.920000,0.62810925,0.62810925,0.87985907,0.87985907
16.960000,0.63772174,0.63772174,0.87928934,0.87928934
17.000000,0.64157787,0.64157787,0.87873133,0.87873133
17.040000,0.63836279,0.63836279,0.87816841,0.87816841
17.080000,0.62666490,0.62666490,0.87758078,0.87758078
17.120000,0.59270914,0.59270914,0.87691675,0.87691675
17.160000,0.56973899,0.56973899,0.87620238,0.87620238
17.200000,0.55468415,0.55468415,0.87545640,0.87545640
17.240000,0.54481579,0.54481579,0.87469102,0.87469102
17.280000,0.56070884,0.56070884,0.87396589,0.87396589
17.320000,0.57956600,0.57956600,0.87328755,0.87328755
17.360000,0.57902277,0.57902277,0.87261108,0.87261108
17.400000,0.58232290,0.58232290,0.87194528,0.87194528
17.440000,0.58507180,0.58507180,0.87128882,0.87128882
17.480000,0.56626173,0.56626173,0.87059241,0.87059241
17.520000,0.53425534,0.53425534,0.86982627,0.86982627
17.560000,0.51192714,0.51192714,0.86901286,0.86901286
17.600000,0.50438679,0.50438679,0.86818605,0.86818605
17.640000,0.49308286,0.49308286,0.86733740,0.86733740
17.680000,0.49601518,0.49601518,0.86649920,0.86649920
17.720000,0.50502386,0.50502386,0.86568506,0.86568506
17.760000,0.50914786,0.50914786,0.86488386,0.86488386
17.800000,0.51205548,0.51205548,0.86409276,0.86409276
17.840000,0.50664898,0.50664898,0.86329311,0.86329311
17.880000,0.50192131,0.50192131,0.86248648,0.86248648
17.920000,0.49129200,0.49129200,0.86165976,0.86165976
17.960000,0.49503897,0.49503897,0.86084505,0.86084505
18.000000,0.48871958,0.48871958,0.86001994,0.86001994
18.040000,0.47925895,0.47925895,0.85917755,0.85917755
18.080000,0.47337490,0.47337490,0.85832588,0.85832588
18.120000,0.49139889,0.49139889,0.85751768,0.85751768
18.160000,0.48102538,0.48102538,0.85669022,0.85669022
18.200000,0.48018869,0.48018869,0.85586456,0.85586456
18.240000,0.48491932,0.48491932,0.85505286,0.85505286
18.280000,0.49295188,0.49295188,0.85426225,0.85426225
18.320000,0.48698944,0.48698944,0.85346209,0.85346209
18.360000,0.48340810,0.48340810,0.85265763,0.85265763
18.400000,0.47237409,0.47237409,0.85183272,0.85183272
18.440000,0.45680527,0.45680527,0.85097768,0.85097768
18.480000,0.45174554,0.45174554,0.85011540,0.85011540
18.520000,0.46553727,0.46553727,0.84928657,0.84928657
18.560000,0.48669772,0.48669772,0.84850681,0.84850681
18.600000,0.48998856,0.48998856,0.84773746,0.84773746
18.640000,0.50605924,0.50605924,0.84700581,0.84700581
18.680000,0.50745012,0.50745012,0.84628027,0.84628027
18.720000,0.51172163,0.51172163,0.84556692,0.84556692
18.760000,0.51629478,0.51629478,0.84486634,0.84486634
18.800000,0.52822865,0.52822865,0.84419408,0.84419408
18.840000,0.52369123,0.52369123,0.84351505,0.84351505
18.880000,0.49362439,0.49362439,0.84277532,0.84277532
18.920000,0.45367798,0.45367798,0.84195444,0.84195444
18.960000,0.42862943,0.42862943,0.84108428,0.84108428
19.000000,0.40614038,0.40614038,0.84017053,0.84017053
